id,REGISTRATION_NUMBER,NAME,DEPARTMENT,BATCH,SSLC,HSC,SEM1,SEM2,SEM3,SEM4,SEM5,SEM6,SEM7,SEM8,CPGA,ARREARS,INTERNSHIPS,CERTIFICATIONS,PATENTSPUBLICATIONS,ACHEIVEMENTS,HOA,LANGUAGE,AOI,EMAIL,ADDRESS,PHONENO,RESUME,PLACEMENT,OFFERS/0/OFFERNO,OFFERS/0/COMPDETAIL,OFFERS/0/PACKAGE,OFFERS/0/DESIGNATION,OFFERS/0/OFFER,OFFERS/1/OFFERNO,OFFERS/1/COMPDETAIL,OFFERS/1/PACKAGE,OFFERS/1/DESIGNATION,OFFERS/1/OFFER
11,211723002011,Trippledex,AIML,2022-2026,76%,81%,8,8.2,7.2,4.5,-,-,-,-,8.5,7,Not_Attended,Full stack(react),ELECTRICAL-product,Symposium,0,JAPANESE,WEB,bskippona@mayoclinic.com,259 Kensington Alley,+86 482 453 3341,RESUME.pdf,Not-Placed,OFFER 1,TCS,10 LPA,BA,OFFER.pdf,,,,,
12,211723007012,Regrant,AIDS,2020-2024,81%,77%,8,8.2,7.2,4.5,9,6,5,8.7,10,2,Attended,API,ELECTRICAL-product,Symposium,0,JAPANESE,IOT,nthurgoodb@about.com,766 Ridge Oak Court,+1 434 345 0960,RESUME.pdf,Placed,OFFER 1,TCS,10 LPA,BA,OFFER.pdf,,,,,
13,211723001013,Prodder,ECE,2020-2024,76%,87%,8,8.2,7.2,4.5,9,6,5,8.7,7.5,4,Not_Attended,Data Analyst,MECH-design,Symposium,0,JAPANESE,IOT,gmeadowcraftc@hugedomains.com,37 Mallory Point,+62 423 612 9914,RESUME.pdf,Placed,OFFER 1,TCS,10 LPA,BA,OFFER.pdf,,,,,
14,211723004014,Konklux,CSE,2021-2025,89%,85%,8,8.2,7.2,4.5,9,6,-,-,9.5,1,Not_Attended,IOT,ELECTRICAL-product,Front end development,0,JAPANESE,WEB,kseagraved@google.nl,7 Hayes Terrace,+7 643 568 3228,RESUME.pdf,Placed,OFFER 1,TCS,10 LPA,BA,OFFER.pdf,,,,,
15,211723007015,Matsoft,AIDS,2022-2026,82%,80%,8,8.2,7.2,4.5,-,-,-,,8.5,6,Attended,Full stack(react),ELECTRICAL-design,Front end development,0,JAPANESE,IOT,rolivase@redcross.org,8 Darwin Center,+359 437 668 8351,RESUME.pdf,Not-Placed,OFFER 1,TCS,10 LPA,BA,OFFER.pdf,,,,,
16,211723001016,Home Ing,ECE,2023-2027,66%,83%,8,8.2,-,-,-,-,-,-,9,4,Attended,Full stack(react),MECH-product,Hackathon,0,JAPANESE,IOT,lbrgwoodf@bloglovin.com,67647 Lighthouse Bay Way,+380 847 405 0322,RESUME.pdf,Placed,OFFER 1,TCS,10 LPA,BA,OFFER.pdf,,,,,
17,211723004017,Transcof,CSE,2023-2027,72%,77%,8,8.2,-,-,-,-,-,-,8.5,5,Attended,IOT,ELECTRICAL-product,Front end development,0,JAPANESE,WEB,kpraterg@google.de,5262 Colorado Alley,+33 839 164 1865,RESUME.pdf,Placed,OFFER 1,TCS,10 LPA,BA,OFFER.pdf,,,,,
18,211723007018,Sub-Ex,AIDS,2020-2024,72%,83%,8,8.2,7.2,4.5,9,6,5,8.7,8.3,0,Attended,API,ELECTRICAL-product,Front end development,0,JAPANESE,API,yellsonh@symantec.com,19312 Jay Parkway,+977 346 587 1169,RESUME.pdf,Placed,OFFER 1,TCS,10 LPA,BA,OFFER.pdf,,,,,
19,211723004019,Konklab,CSE,2021-2025,84%,80%,8,8.2,7.2,4.5,9,6,-,-,8.5,0,Attended,Full stack(react),MECH-product,Symposium,1,GERMAN,API,cfagani@weibo.com,431 Waubesa Crossing,+380 539 385 6255,RESUME.pdf,Not-Placed,OFFER 1,TCS,10 LPA,BA,OFFER.pdf,,,,,
20,211723004020,Toughjoyfax,CSE,2022-2026,76%,77%,8,8.2,7.2,4.5,-,-,-,-,7.5,2,Attended,IOT,MECH-product,Symposium,1,GERMAN,API,cfagani@weibo.com,431 Waubesa Crossing,+380 539 385 6255,RESUME.pdf,Not-Placed,OFFER 1,TCS,10 LPA,BA,OFFER.pdf,,,,,
